Unnamed: 0,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
224,-1.0,-1.0,6.3,6.3,-1.0,-1.0,-1.0,-1.0,0.68,0.68,-1.0,-1.0,-1.0,-1.0,337.0,337.0,-1.0,-1.0,-1.0,-1.0
225,-1.0,-1.0,7.3,7.3,-1.0,-1.0,-1.0,-1.0,0.99,0.99,-1.0,-1.0,-1.0,-1.0,1930.0,1930.0,-1.0,-1.0,-1.0,-1.0
226,-1.0,-1.0,7.4,7.4,-1.0,-1.0,-1.0,-1.0,0.53,0.53,-1.0,-1.0,-1.0,-1.0,896.0,896.0,-1.0,-1.0,-1.0,-1.0
227,-1.0,-1.0,6.9,6.9,-1.0,-1.0,-1.0,-1.0,0.49,0.49,-1.0,-1.0,-1.0,-1.0,689.0,689.0,-1.0,-1.0,-1.0,-1.0
228,-1.0,-1.0,7.1,7.1,-1.0,-1.0,-1.0,-1.0,0.87,0.87,-1.0,-1.0,-1.0,-1.0,2870.0,2870.0,-1.0,-1.0,-1.0,-1.0
229,-1.0,-1.0,7.2,7.2,-1.0,-1.0,-1.0,-1.0,0.36,0.36,-1.0,-1.0,-1.0,-1.0,642.0,642.0,-1.0,-1.0,-1.0,-1.0
230,-1.0,-1.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,540.0,540.0,-1.0,-1.0,-1.0,-1.0
231,-1.0,-1.0,7.1,7.1,-1.0,-1.0,-1.0,-1.0,0.98,0.98,-1.0,-1.0,-1.0,-1.0,361.0,361.0,-1.0,-1.0,-1.0,-1.0
232,-1.0,-1.0,7.7,7.7,-1.0,-1.0,-1.0,-1.0,0.41,0.41,-1.0,-1.0,-1.0,-1.0,311.0,311.0,-1.0,-1.0,-1.0,-1.0
233,-1.0,-1.0,7.2,7.2,-1.0,-1.0,-1.0,-1.0,0.3,0.3,-1.0,-1.0,-1.0,-1.0,409.0,409.0,-1.0,-1.0,-1.0,-1.0
