,Stn_code,Location,State_Name,Temp_min,Temp_max,pH_min,pH_max,conduc_min,conduc_max,bod_min,bod_max,nitrate_min,nitrate_max,Fcoli_min,Fcoli_max,Tcoli_min,Tcoli_max,Tds_min,Tds_max,F_min,F_max,Ar_min,Ar_max
115,3149.0,GROUND WATER FROM KUDRA,BIHAR,22,22,7.9,7.9,571,571,-,-,0.36,0.36,23,23,23,23,378,378,0.2,0.2,-,-
116,3150.0,GROUND WATER FROM MANER,BIHAR,24,24,7.2,7.2,773,775,-,-,0.5,2.24,-,-,-,-,498,502,0.2,0.2,-,-
117,3151.0,"GROUND WATER FROM
MOHANIA",BIHAR,23,23,7.8,7.8,1040,1040,-,-,0.98,0.98,23,23,23,23,732,732,0.3,0.3,-,-
118,3152.0,"GROUND WATER FROM
NARKATIAGANJ",BIHAR,24,24,7.9,7.9,232,232,-,-,0.3,0.3,23,23,23,23,154,154,0.2,0.2,-,-
119,2593.0,"GROUND WATER FROM
NAWADA",BIHAR,21,21,7.2,7.2,1280,1280,-,-,2.57,2.57,23,23,23,23,908,908,0.2,0.2,-,-
120,3153.0,GROUND WATER FROM PIRO,BIHAR,22,22,7.5,7.5,1110,1110,-,-,4.37,4.37,23,23,23,23,780,780,0.2,0.2,-,-
121,3154.0,"GROUND WATER FROM
RAMKUND GAYA",BIHAR,24,24,7.4,7.4,935,935,-,-,0.3,0.3,23,23,23,23,612,612,0.2,0.2,-,-
122,3160.0,GROUND WATER FROM RAXAUL,BIHAR,25,25,7.9,7.9,269,269,-,-,0.3,0.3,23,23,23,23,172,172,0.2,0.2,-,-
123,2594.0,"GROUND WATER FROM
SAHARSA",BIHAR,25,26,7.2,8.6,843,958,-,-,1.8,6.12,23,23,23,23,542,628,0.2,0.3,-,-
124,2595.0,"GROUND WATER FROM
SAMASTIPUR",BIHAR,22,22,7.2,8.3,728,927,-,-,0.3,2.2,5,350,7,540,468,634,0.2,0.3,-,-
125,3156.0,"GROUND WATER FROM
SAMASTIPUR",BIHAR,22,22,6.7,7.0,1090,1670,-,-,0.3,2.4,7,7,9,9,724,1098,0.2,0.4,-,-
126,3159.0,"GROUND WATER FROM
SHAHPUR",BIHAR,25,27,6.8,7.2,568,858,-,-,1,2.68,-,-,-,-,368,566,0.2,0.3,-,-
127,3158.0,"GROUND WATER FROM
SHERGHATI",BIHAR,20,20,7.6,7.6,299,299,-,-,0.3,0.3,23,23,23,23,194,194,0.2,0.2,-,-
128,2596.0,"GROUND WATER FROM
SITAMARHI",BIHAR,24,25,7.7,7.9,264,321,-,-,0.4,5.59,23,23,23,23,172,214,0.2,0.2,-,-
129,2597.0,GROUND WATER FROM SIWAN,BIHAR,24,24,7.3,7.3,448,448,-,-,0.3,0.3,23,23,23,23,292,292,0.2,0.2,-,-
130,3157.0,"GROUND WATER FROM
SULTANGANJ",BIHAR,21,23,6.9,6.9,1120,1370,-,-,0.3,0.3,16,16,23,130,718,902,0.2,0.3,-,-
131,3155.0,GROUND WATER FROM SUPUAL,BIHAR,25,27,7.5,8.0,643,839,-,-,1.7,4.6,-,-,-,-,424,558,0.2,0.2,-,-
132,1827.0,"GROUND WATER FROM TAP WATER COMING FROM OVER HEAD TANK PMCH CAMPUS,
PATNA",BIHAR,26,27,7.5,7.7,439,472,-,-,0.5,3.11,2,23,2,23,298,310,0.2,0.3,-,-
133,1838.0,"GROUND WATER FROM TAP
WATER NEAR VEER KUWAR SINGH CHOWK, MUNGER",BIHAR,20,20,7.1,7.1,1030,1030,-,-,0.3,0.3,12,12,23,23,678,678,0.2,0.2,-,-
134,2600.0,"GROUND WATER FROM
VAISHALI",BIHAR,22,23,7.0,7.1,997,1630,-,-,0.3,4.82,23,23,23,23,658,1072,0.2,0.2,-,-
135,3162.0,"GROUND WATER FROM
VAISHALI",BIHAR,23,23,7.1,7.1,583,583,-,-,5.53,5.53,23,23,23,23,374,374,0.2,0.2,-,-
136,1832.0,"GROUND WATER NEAR TAP
WATER IN CAMPUS OF KALI ASTHAN, BEGUSARAI",BIHAR,26,26,7.2,7.6,698,1130,-,-,1.4,2.25,5,23,5,23,460,738,0.2,0.2,-,-
137,1833.0,"GROUND WATER NEAR TAP
WATER IN CAMPUS OF S.P OFFICE, POKHARIA, BEGUSARAI",BIHAR,26,27,6.8,7.3,261,882,-,-,1.4,1.63,-,-,-,-,166,574,0.2,0.2,-,-
138,2583.0,"HAND PUMP WATER AT BUS
STAND, GOPALGANJ",BIHAR,28,28,7.1,7.1,1620,1620,-,-,1.62,1.62,23,23,23,23,1018,1018,0.2,0.2,-,-
139,2586.0,"HAND PUMP WATER AT BUS
STAND, KATIHAR",BIHAR,25,26,7.4,8.0,286,609,-,-,1.9,3.46,-,-,-,-,182,392,0.2,0.2,-,-
140,2590.0,"HAND PUMP WATER AT
COLLECTRIATE OFFICE, MADHUBANI",BIHAR,21,21,7.1,7.2,471,532,-,-,0.3,1.8,23,23,23,23,310,350,0.2,0.3,-,-
141,2577.0,"HAND PUMP WATER AT COURT
CAMPOUND, ARARIA",BIHAR,28,29,7.4,7.4,227,795,-,-,1.5,3.07,5,5,5,7,142,612,0.2,0.3,-,-
